Fecha,economia_propia,economia_familiar,economia_amigos,economia_sociedad,CASOS_CONFIRMAT
2020-03-20,2.392749244712991,2.5709969788519635,2.40785498489426,3.120845921450151,1631
2020-03-21,2.339622641509434,2.69811320754717,2.3962264150943398,3.3207547169811322,1059
2020-03-22,2.24,2.72,2.58,3.2466666666666666,957
2020-03-23,2.4714285714285715,2.585714285714286,2.2285714285714286,3.142857142857143,2311
2020-03-24,2.336734693877551,2.5816326530612246,2.5306122448979593,3.1122448979591835,1921
2020-03-27,2.318936877076412,2.4451827242524917,2.3588039867109636,3.142857142857143,1624
2020-03-28,2.1965811965811968,2.6495726495726495,2.5213675213675213,3.1880341880341883,1137
2020-03-29,2.24468085106383,2.5425531914893615,2.4574468085106385,3.4893617021276597,1001
2020-03-30,2.48,2.617777777777778,2.453333333333333,3.1911111111111112,1947
2020-03-31,2.586826347305389,2.7964071856287425,2.7425149700598803,3.311377245508982,1463
2020-04-03,2.42152466367713,2.596412556053812,2.5605381165919283,3.3228699551569507,1384
2020-04-04,2.234567901234568,2.506172839506173,2.4012345679012346,3.3333333333333335,746
2020-04-05,2.280701754385965,2.508771929824561,2.3859649122807016,3.2982456140350878,562
2020-04-06,2.5129533678756477,2.704663212435233,2.5958549222797926,3.33160621761658,1417
2020-04-07,2.5060240963855422,2.6927710843373496,2.6867469879518073,3.3855421686746987,1173
2020-04-09,2.2711864406779663,2.6497175141242937,2.5395480225988702,3.384180790960452,1319
2020-04-10,2.1913875598086126,2.5933014354066986,2.4976076555023923,3.3588516746411483,1092
2020-04-11,2.4166666666666665,2.6979166666666665,2.46875,3.4479166666666665,798
2020-04-12,2.3410852713178296,2.565891472868217,2.364341085271318,3.24031007751938,525
2020-04-13,2.2222222222222223,2.246913580246914,2.197530864197531,3.0987654320987654,758
2020-04-14,2.5402298850574714,2.6149425287356323,2.6839080459770117,3.2873563218390807,1171
2020-04-15,2.642857142857143,3.0,2.7142857142857144,3.5,1248
2020-04-27,2.275,2.577272727272727,2.3795454545454544,3.3545454545454545,334
2020-04-28,2.3,2.534782608695652,2.4217391304347826,3.4130434782608696,436
2020-04-29,2.35,2.65,2.4545454545454546,3.286363636363636,456
2020-04-30,2.6533333333333333,2.5866666666666664,2.56,3.44,314
2020-05-01,2.25,2.5833333333333335,2.8333333333333335,3.0833333333333335,214
2020-05-02,2.361111111111111,2.611111111111111,2.537037037037037,3.425925925925926,160
2020-05-03,2.28,2.48,2.36,3.36,75
