Fecha,salud_propia,salud_familiar,salud_amigos,salud_sociedad,CASOS_CONFIRMAT
2020-03-20,2.015105740181269,3.1963746223564953,2.731117824773414,3.117824773413897,1631
2020-03-21,2.0754716981132075,3.1132075471698113,2.4339622641509435,3.2264150943396226,1059
2020-03-22,2.12,3.3333333333333335,2.8133333333333335,3.2066666666666666,957
2020-03-23,1.957142857142857,3.1,2.5142857142857142,3.057142857142857,2311
2020-03-24,2.1122448979591835,3.2346938775510203,2.7346938775510203,3.122448979591837,1921
2020-03-27,2.0199335548172757,3.1827242524916945,2.617940199335548,3.0564784053156147,1624
2020-03-28,1.8632478632478633,3.1367521367521367,2.6666666666666665,3.1025641025641026,1137
2020-03-29,1.8936170212765957,3.148936170212766,2.6914893617021276,3.351063829787234,1001
2020-03-30,1.9022222222222223,3.1644444444444444,2.7288888888888887,3.0755555555555554,1947
2020-03-31,2.029940119760479,3.311377245508982,2.8323353293413174,3.2095808383233533,1463
2020-04-03,1.9775784753363228,3.008968609865471,2.524663677130045,3.022421524663677,1384
2020-04-04,2.0123456790123457,2.993827160493827,2.5,3.1666666666666665,746
2020-04-05,1.631578947368421,3.017543859649123,2.2982456140350878,2.8421052631578947,562
2020-04-06,2.0362694300518136,3.093264248704663,2.533678756476684,3.0259067357512954,1417
2020-04-07,1.9096385542168675,3.036144578313253,2.3734939759036147,3.1144578313253013,1173
2020-04-09,1.884180790960452,3.042372881355932,2.553672316384181,3.135593220338983,1319
2020-04-10,1.7320574162679425,2.9760765550239237,2.4688995215311005,3.0669856459330145,1092
2020-04-11,2.0833333333333335,2.8645833333333335,2.5729166666666665,3.09375,798
2020-04-12,1.8372093023255813,2.9069767441860463,2.395348837209302,3.0697674418604652,525
2020-04-13,1.691358024691358,2.728395061728395,2.345679012345679,2.9753086419753085,758
2020-04-14,1.9195402298850575,3.086206896551724,2.6264367816091956,3.2011494252873565,1171
2020-04-15,2.5714285714285716,3.7857142857142856,3.0,3.2142857142857144,1248
2020-04-27,1.9363636363636363,2.8227272727272728,2.3045454545454547,2.9477272727272728,334
2020-04-28,1.8869565217391304,2.747826086956522,2.252173913043478,2.9043478260869566,436
2020-04-29,1.9272727272727272,2.8772727272727274,2.3454545454545452,2.9045454545454548,456
2020-04-30,1.8133333333333332,2.76,2.3466666666666667,2.9466666666666668,314
2020-05-01,2.25,2.5,2.3333333333333335,3.0833333333333335,214
2020-05-02,1.9074074074074074,2.7314814814814814,2.2037037037037037,2.888888888888889,160
2020-05-03,1.64,2.64,2.28,2.8,75
